datetime,spot_price,fcr_price,revenue_full_da,target_fcr_price,success_fcr_bid,real_power,real_market_dispatch,real_opening_capacity,real_revenue
2024-01-01 00:00:00,39.91,114.8,9.478625,50.505279550438594,False,1.0,0.2375,1.0,9.478625
2024-01-01 00:15:00,-0.04,114.8,-0.0,50.505279550438594,False,0.0,0.0,0.75,-0.0
2024-01-01 00:30:00,-9.01,114.8,-0.0,50.505279550438594,False,0.0,0.0,0.75,-0.0
2024-01-01 00:45:00,-29.91,114.8,7.4775,50.505279550438594,False,-1.0,-0.25,0.75,7.4775
2024-01-01 01:00:00,25.28,114.8,6.004,50.505279550438594,False,1.0,0.2375,0.9875,6.004
2024-01-01 01:15:00,-24.91,114.8,6.2275,50.505279550438594,False,-1.0,-0.25,0.7375,6.2275
2024-01-01 01:30:00,-0.07,114.8,-0.0,50.505279550438594,False,0.0,0.0,0.975,-0.0
2024-01-01 01:45:00,-0.08,114.8,-0.0,50.505279550438594,False,0.0,0.0,0.975,-0.0
2024-01-01 02:00:00,-0.05,114.8,-0.0,50.505279550438594,False,0.0,0.0,0.975,-0.0
2024-01-01 02:15:00,-0.06,114.8,-0.0,50.505279550438594,False,0.0,0.0,0.975,-0.0
2024-01-01 02:30:00,-0.04,114.8,-0.0,50.505279550438594,False,0.0,0.0,0.975,-0.0
2024-01-01 02:45:00,-0.42,114.8,-0.0,50.505279550438594,False,0.0,0.0,0.975,-0.0
2024-01-01 03:00:00,22.4,114.8,5.319999999999999,50.505279550438594,False,1.0,0.2375,0.975,5.319999999999999
2024-01-01 03:15:00,-0.08,114.8,-0.0,50.505279550438594,False,0.0,0.0,0.725,-0.0
2024-01-01 03:30:00,-32.41,114.8,8.1025,50.505279550438594,False,-1.0,-0.25,0.725,8.1025
2024-01-01 03:45:00,5.08,114.8,1.2065,50.505279550438594,False,1.0,0.2375,0.9625,1.2065
2024-01-01 04:00:00,-0.09,104.4,-0.0,50.505279550438594,False,0.0,0.0,0.7125,-0.0
2024-01-01 04:15:00,-0.09,104.4,-0.0,50.505279550438594,False,0.0,0.0,0.7125,-0.0
2024-01-01 04:30:00,-8.63,104.4,-0.0,50.505279550438594,False,0.0,0.0,0.7125,-0.0
2024-01-01 04:45:00,-0.08,104.4,-0.0,50.505279550438594,False,0.0,0.0,0.7125,-0.0
