datetime,spot_price,power,market_dispatch,opening_capacity,revenue
2024-01-29 00:00:00,62.1,1.0,0.2375,1.0,14.74875
2024-01-29 00:15:00,51.7,1.0,0.2375,0.75,12.27875
2024-01-29 00:30:00,42.0,-1.0,-0.25,0.5,-10.5
2024-01-29 00:45:00,34.3,-1.0,-0.25,0.7375,-8.575
2024-01-29 01:00:00,56.3,1.0,0.2375,0.975,13.371249999999998
2024-01-29 01:15:00,45.4,0.0,0.0,0.725,0.0
2024-01-29 01:30:00,44.98,0.0,0.0,0.725,0.0
2024-01-29 01:45:00,36.96,-1.0,-0.25,0.725,-9.24
2024-01-29 02:00:00,48.1,0.55,0.130625,0.9625,6.2830625
2024-01-29 02:15:00,48.99,1.0,0.2375,0.825,11.635125
2024-01-29 02:30:00,42.0,-1.0,-0.25,0.575,-10.5
2024-01-29 02:45:00,42.9,-1.0,-0.25,0.8125,-10.725
2024-01-29 03:00:00,41.4,-1.0,-0.25,1.05,-10.35
2024-01-29 03:15:00,44.97,0.0,0.0,1.2875,0.0
2024-01-29 03:30:00,42.0,-1.0,-0.25,1.2875,-10.5
2024-01-29 03:45:00,47.4,0.0,0.0,1.525,0.0
2024-01-29 04:00:00,22.7,-1.0,-0.25,1.525,-5.675
2024-01-29 04:15:00,42.97,-1.0,-0.25,1.7625,-10.7425
2024-01-29 04:30:00,61.8,0.9,0.21375,2.0,13.20975
2024-01-29 04:45:00,68.12,1.0,0.2375,1.775,16.1785
2024-01-29 05:00:00,15.04,-1.0,-0.25,1.525,-3.76
2024-01-29 05:15:00,30.08,-1.0,-0.25,1.7625,-7.52
2024-01-29 05:30:00,60.96,0.0,0.0,2.0,0.0
2024-01-29 05:45:00,122.46,1.0,0.2375,2.0,29.084249999999997
2024-01-29 06:00:00,27.98,-1.0,-0.25,1.75,-6.995
2024-01-29 06:15:00,69.3,-0.0526315789473681,-0.013157894736842025,1.9875,-0.9118421052631522
2024-01-29 06:30:00,82.93,0.0,0.0,2.0,0.0
2024-01-29 06:45:00,107.8,1.0,0.2375,2.0,25.6025
2024-01-29 07:00:00,59.73,-1.0,-0.25,1.75,-14.9325
2024-01-29 07:15:00,81.6,0.0,0.0,1.9875,0.0
2024-01-29 07:30:00,92.91,1.0,0.2375,1.9875,22.066125
2024-01-29 07:45:00,100.8,1.0,0.2375,1.7375,23.939999999999998
2024-01-29 08:00:00,90.08,1.0,0.2375,1.4875,21.394
2024-01-29 08:15:00,91.57,1.0,0.2375,1.2375,21.747874999999997
2024-01-29 08:30:00,86.1,1.0,0.2375,0.9875,20.448749999999997
2024-01-29 08:45:00,85.8,0.9,0.21375,0.7375,18.33975
2024-01-29 09:00:00,107.57,1.0,0.2375,0.5125,25.547874999999998
2024-01-29 09:15:00,88.23,1.0,0.2375,0.2625,20.954625
2024-01-29 09:30:00,78.0,0.0,0.0,0.0125,0.0
2024-01-29 09:45:00,69.4,-1.0,-0.25,0.0125,-17.35
2024-01-29 10:00:00,95.09,1.0,0.2375,0.25,22.583875
2024-01-29 10:15:00,75.04,0.0,0.0,0.0,0.0
2024-01-29 10:30:00,65.04,-1.0,-0.25,0.0,-16.26
2024-01-29 10:45:00,60.02,-1.0,-0.25,0.2375,-15.005
2024-01-29 11:00:00,77.54,1.0,0.2375,0.475,18.41575
2024-01-29 11:15:00,67.54,-0.473684210526316,-0.118421052631579,0.225,-7.998157894736846
2024-01-29 11:30:00,63.05,-1.0,-0.25,0.3375,-15.7625
2024-01-29 11:45:00,58.93,-1.0,-0.25,0.575,-14.7325
2024-01-29 12:00:00,57.58,-1.0,-0.25,0.8125,-14.395
2024-01-29 12:15:00,60.07,-1.0,-0.25,1.05,-15.0175
2024-01-29 12:30:00,65.03,-1.0,-0.25,1.2875,-16.2575
2024-01-29 12:45:00,69.94,0.0,0.0,1.525,0.0
2024-01-29 13:00:00,47.55,-1.0,-0.25,1.525,-11.8875
2024-01-29 13:15:00,61.8,-1.0,-0.25,1.7625,-15.45
2024-01-29 13:30:00,70.96,0.0,0.0,2.0,0.0
2024-01-29 13:45:00,80.06,1.0,0.2375,2.0,19.01425
2024-01-29 14:00:00,49.7,-1.0,-0.25,1.75,-12.425
2024-01-29 14:15:00,68.91,-0.0526315789473681,-0.013157894736842025,1.9875,-0.9067105263157839
2024-01-29 14:30:00,75.19,0.0,0.0,2.0,0.0
2024-01-29 14:45:00,92.5,1.0,0.2375,2.0,21.96875
2024-01-29 15:00:00,42.59,-1.0,-0.25,1.75,-10.6475
2024-01-29 15:15:00,71.5,-0.0526315789473681,-0.013157894736842025,1.9875,-0.9407894736842047
2024-01-29 15:30:00,87.55,0.9,0.21375,2.0,18.7138125
