datetime,spot_price,power,market_dispatch,opening_capacity,revenue
2023-06-05 00:00:00,129.92,1.0,0.2375,1.0,30.855999999999995
2023-06-05 00:15:00,91.89,1.0,0.2375,0.75,21.823874999999997
2023-06-05 00:30:00,63.0,-1.0,-0.25,0.5,-15.75
2023-06-05 00:45:00,55.07,-1.0,-0.25,0.7375,-13.7675
2023-06-05 01:00:00,113.25,1.0,0.2375,0.975,26.896874999999998
2023-06-05 01:15:00,73.3,0.0,0.0,0.725,0.0
2023-06-05 01:30:00,69.5,-1.0,-0.25,0.725,-17.375
2023-06-05 01:45:00,65.3,-1.0,-0.25,0.9625,-16.325
2023-06-05 02:00:00,69.01,-1.0,-0.25,1.2,-17.2525
2023-06-05 02:15:00,66.4,-1.0,-0.25,1.4375,-16.6
2023-06-05 02:30:00,71.8,0.0,0.0,1.675,0.0
2023-06-05 02:45:00,80.1,1.0,0.2375,1.675,19.023749999999996
2023-06-05 03:00:00,52.9,-1.0,-0.25,1.425,-13.225
2023-06-05 03:15:00,67.0,-1.0,-0.25,1.6625,-16.75
2023-06-05 03:30:00,74.9,0.0,0.0,1.9,0.0
2023-06-05 03:45:00,91.8,1.0,0.2375,1.9,21.8025
2023-06-05 04:00:00,38.5,-1.0,-0.25,1.65,-9.625
2023-06-05 04:15:00,70.1,-0.473684210526315,-0.11842105263157875,1.8875,-8.30131578947367
2023-06-05 04:30:00,86.4,0.9,0.21375,2.0,18.468
2023-06-05 04:45:00,112.45,1.0,0.2375,1.775,26.706875
2023-06-05 05:00:00,21.69,-1.0,-0.25,1.525,-5.4225
2023-06-05 05:15:00,60.07,-1.0,-0.25,1.7625,-15.0175
2023-06-05 05:30:00,97.4,0.0,0.0,2.0,0.0
2023-06-05 05:45:00,184.97,1.0,0.2375,2.0,43.930375
2023-06-05 06:00:00,75.02,-1.0,-0.25,1.75,-18.755
2023-06-05 06:15:00,118.6,0.0,0.0,1.9875,0.0
2023-06-05 06:30:00,138.6,1.0,0.2375,1.9875,32.9175
2023-06-05 06:45:00,144.74,1.0,0.2375,1.7375,34.375750000000004
2023-06-05 07:00:00,126.2,1.0,0.2375,1.4875,29.9725
2023-06-05 07:15:00,138.3,1.0,0.2375,1.2375,32.84625
2023-06-05 07:30:00,121.8,0.85,0.201875,0.9875,24.588375
2023-06-05 07:45:00,139.94,1.0,0.2375,0.775,33.235749999999996
2023-06-05 08:00:00,140.94,1.0,0.2375,0.525,33.47325
2023-06-05 08:15:00,140.3,1.0,0.2375,0.275,33.32125
2023-06-05 08:30:00,94.5,-1.0,-0.25,0.025,-23.625
2023-06-05 08:45:00,45.07,-1.0,-0.25,0.2625,-11.2675
2023-06-05 09:00:00,150.7,1.0,0.2375,0.5,35.79125
2023-06-05 09:15:00,128.4,1.0,0.2375,0.25,30.495
2023-06-05 09:30:00,75.5,-1.0,-0.25,0.0,-18.875
2023-06-05 09:45:00,30.1,-1.0,-0.25,0.2375,-7.525
2023-06-05 10:00:00,110.7,1.0,0.2375,0.475,26.291249999999998
2023-06-05 10:15:00,98.9,0.9,0.21375,0.225,21.139875
2023-06-05 10:30:00,53.6,-1.0,-0.25,0.0,-13.4
2023-06-05 10:45:00,24.79,-1.0,-0.25,0.2375,-6.1975
2023-06-05 11:00:00,87.21,1.0,0.2375,0.475,20.712374999999998
2023-06-05 11:15:00,81.4,0.9,0.21375,0.225,17.399250000000002
2023-06-05 11:30:00,62.4,-1.0,-0.25,0.0,-15.6
2023-06-05 11:45:00,22.6,-1.0,-0.25,0.2375,-5.65
2023-06-05 12:00:00,91.1,1.0,0.2375,0.475,21.636249999999997
2023-06-05 12:15:00,75.3,0.9,0.21375,0.225,16.095375
2023-06-05 12:30:00,45.7,-1.0,-0.25,0.0,-11.425
2023-06-05 12:45:00,20.6,-1.0,-0.25,0.2375,-5.15
2023-06-05 13:00:00,74.92,1.0,0.2375,0.475,17.793499999999998
2023-06-05 13:15:00,70.79,0.9,0.21375,0.225,15.131362500000002
2023-06-05 13:30:00,25.08,-1.0,-0.25,-5.55111512312578e-17,-6.27
2023-06-05 13:45:00,19.2,-1.0,-0.25,0.2375,-4.8
2023-06-05 14:00:00,38.2,-1.0,-0.25,0.475,-9.55
2023-06-05 14:15:00,48.0,-1.0,-0.25,0.7125,-12.0
2023-06-05 14:30:00,35.1,-1.0,-0.25,0.95,-8.775
2023-06-05 14:45:00,63.5,0.0,0.0,1.1875,0.0
2023-06-05 15:00:00,41.8,-1.0,-0.25,1.1875,-10.45
2023-06-05 15:15:00,55.7,-1.0,-0.25,1.425,-13.925
2023-06-05 15:30:00,73.72,1.0,0.2375,1.6625,17.508499999999998
2023-06-05 15:45:00,60.09,-0.526315789473683,-0.13157894736842074,1.4125,-7.906578947368403
2023-06-05 16:00:00,40.7,-1.0,-0.25,1.5375,-10.175
2023-06-05 16:15:00,60.9,0.0,0.0,1.775,0.0
2023-06-05 16:30:00,62.46,0.0,0.0,1.775,0.0
2023-06-05 16:45:00,90.09,1.0,0.2375,1.775,21.396375
2023-06-05 17:00:00,36.3,-1.0,-0.25,1.525,-9.075
2023-06-05 17:15:00,57.2,-1.0,-0.25,1.7625,-14.3
2023-06-05 17:30:00,114.1,1.0,0.2375,2.0,27.09875
2023-06-05 17:45:00,137.43,1.0,0.2375,1.75,32.639625
2023-06-05 18:00:00,40.02,-1.0,-0.25,1.5,-10.005
2023-06-05 18:15:00,74.7,-1.0,-0.25,1.7375,-18.675
2023-06-05 18:30:00,127.8,1.0,0.2375,1.975,30.3525
2023-06-05 18:45:00,142.02,1.0,0.2375,1.725,33.72975
2023-06-05 19:00:00,95.04,-1.0,-0.25,1.475,-23.76
2023-06-05 19:15:00,110.4,0.0,0.0,1.7125,0.0
2023-06-05 19:30:00,154.6,1.0,0.2375,1.7125,36.717499999999994
2023-06-05 19:45:00,100.08,-0.263157894736841,-0.06578947368421025,1.4625,-6.584210526315761
2023-06-05 20:00:00,169.97,1.0,0.2375,1.525,40.367875
