datetime,spot_price,power,market_dispatch,opening_capacity,revenue
2023-06-19 00:00:00,107.54,1.0,0.2375,1.0,25.54075
2023-06-19 00:15:00,124.4,1.0,0.2375,0.75,29.545
2023-06-19 00:30:00,85.1,-1.0,-0.25,0.5,-21.275
2023-06-19 00:45:00,75.08,-1.0,-0.25,0.7375,-18.77
2023-06-19 01:00:00,100.07,1.0,0.2375,0.975,23.766624999999998
2023-06-19 01:15:00,92.4,0.0,0.0,0.725,0.0
2023-06-19 01:30:00,87.6,-1.0,-0.25,0.725,-21.9
2023-06-19 01:45:00,87.6,0.0,0.0,0.9625,0.0
2023-06-19 02:00:00,87.6,-0.368421052631579,-0.09210526315789475,0.9625,-8.06842105263158
2023-06-19 02:15:00,87.6,-1.0,-0.25,1.05,-21.9
2023-06-19 02:30:00,87.6,-1.0,-0.25,1.2875,-21.9
2023-06-19 02:45:00,91.3,0.0,0.0,1.525,0.0
2023-06-19 03:00:00,87.6,-1.0,-0.25,1.525,-21.9
2023-06-19 03:15:00,87.6,-1.0,-0.25,1.7625,-21.9
2023-06-19 03:30:00,89.1,0.0,0.0,2.0,0.0
2023-06-19 03:45:00,97.4,0.95,0.225625,2.0,21.975875000000002
2023-06-19 04:00:00,67.51,-1.0,-0.25,1.7625,-16.8775
2023-06-19 04:15:00,97.2,0.0,0.0,2.0,0.0
2023-06-19 04:30:00,108.2,0.9,0.21375,2.0,23.12775
2023-06-19 04:45:00,115.1,1.0,0.2375,1.775,27.336249999999996
2023-06-19 05:00:00,44.11,-1.0,-0.25,1.525,-11.0275
2023-06-19 05:15:00,77.59,-1.0,-0.25,1.7625,-19.3975
2023-06-19 05:30:00,110.3,0.0,0.0,2.0,0.0
2023-06-19 05:45:00,187.41,1.0,0.2375,2.0,44.509874999999994
2023-06-19 06:00:00,80.04,-1.0,-0.25,1.75,-20.01
2023-06-19 06:15:00,118.12,0.0,0.0,1.9875,0.0
2023-06-19 06:30:00,161.9,1.0,0.2375,1.9875,38.45125
2023-06-19 06:45:00,171.7,1.0,0.2375,1.7375,40.778749999999995
2023-06-19 07:00:00,115.07,-1.0,-0.25,1.4875,-28.7675
2023-06-19 07:15:00,151.0,1.0,0.2375,1.725,35.8625
2023-06-19 07:30:00,163.04,1.0,0.2375,1.475,38.721999999999994
2023-06-19 07:45:00,184.94,1.0,0.2375,1.225,43.923249999999996
2023-06-19 08:00:00,127.58,0.0,0.0,0.975,0.0
2023-06-19 08:15:00,162.1,1.0,0.2375,0.975,38.498749999999994
2023-06-19 08:30:00,134.8,1.0,0.2375,0.725,32.015
2023-06-19 08:45:00,117.54,-0.105263157894736,-0.026315789473684,0.475,-3.0931578947368177
2023-06-19 09:00:00,139.3,1.0,0.2375,0.5,33.08375
2023-06-19 09:15:00,149.0,1.0,0.2375,0.25,35.387499999999996
2023-06-19 09:30:00,117.2,0.0,0.0,0.0,0.0
2023-06-19 09:45:00,102.56,-1.0,-0.25,0.0,-25.64
2023-06-19 10:00:00,111.6,-0.0526315789473685,-0.013157894736842125,0.2375,-1.468421052631581
2023-06-19 10:15:00,134.0,1.0,0.2375,0.25,31.825
2023-06-19 10:30:00,111.42,-0.0526315789473685,-0.013157894736842125,0.0,-1.4660526315789497
2023-06-19 10:45:00,98.29,-1.0,-0.25,0.0125,-24.5725
2023-06-19 11:00:00,112.6,0.0,0.0,0.25,0.0
2023-06-19 11:15:00,127.8,1.0,0.2375,0.25,30.3525
2023-06-19 11:30:00,113.3,0.0,0.0,0.0,0.0
2023-06-19 11:45:00,87.6,-1.0,-0.25,0.0,-21.9
2023-06-19 12:00:00,105.0,-0.736842105263157,-0.18421052631578924,0.2375,-19.34210526315787
2023-06-19 12:15:00,117.0,1.0,0.2375,0.4125,27.787499999999998
2023-06-19 12:30:00,99.7,-1.0,-0.25,0.1625,-24.925
2023-06-19 12:45:00,92.22,-1.0,-0.25,0.4,-23.055
2023-06-19 13:00:00,117.1,1.0,0.2375,0.6375,27.811249999999998
2023-06-19 13:15:00,125.5,1.0,0.2375,0.3875,29.80625
2023-06-19 13:30:00,100.03,-1.0,-0.25,0.1375,-25.0075
2023-06-19 13:45:00,75.09,-1.0,-0.25,0.375,-18.7725
2023-06-19 14:00:00,91.4,-1.0,-0.25,0.6125,-22.85
2023-06-19 14:15:00,99.7,-1.0,-0.25,0.85,-24.925
2023-06-19 14:30:00,80.1,-1.0,-0.25,1.0875,-20.025
2023-06-19 14:45:00,137.41,1.0,0.2375,1.325,32.634875
2023-06-19 15:00:00,84.2,-1.0,-0.25,1.075,-21.05
2023-06-19 15:15:00,111.0,0.0,0.0,1.3125,0.0
2023-06-19 15:30:00,85.1,-1.0,-0.25,1.3125,-21.275
2023-06-19 15:45:00,130.43,1.0,0.2375,1.55,30.977125
2023-06-19 16:00:00,77.77,-1.0,-0.25,1.3,-19.4425
2023-06-19 16:15:00,103.8,-1.0,-0.25,1.5375,-25.95
2023-06-19 16:30:00,147.41,1.0,0.2375,1.775,35.009875
2023-06-19 16:45:00,112.6,0.0,0.0,1.525,0.0
2023-06-19 17:00:00,80.05,-1.0,-0.25,1.525,-20.0125
2023-06-19 17:15:00,94.9,-1.0,-0.25,1.7625,-23.725
2023-06-19 17:30:00,156.5,0.9,0.21375,2.0,33.451875
2023-06-19 17:45:00,163.49,1.0,0.2375,1.775,38.828875000000004
2023-06-19 18:00:00,105.08,-1.0,-0.25,1.525,-26.27
2023-06-19 18:15:00,122.57,-1.0,-0.25,1.7625,-30.6425
2023-06-19 18:30:00,173.9,0.0,0.0,2.0,0.0
2023-06-19 18:45:00,197.48,1.0,0.2375,2.0,46.9015
2023-06-19 19:00:00,142.56,-1.0,-0.25,1.75,-35.64
2023-06-19 19:15:00,163.7,0.0,0.0,1.9875,0.0
2023-06-19 19:30:00,202.9,1.0,0.2375,1.9875,48.18875
2023-06-19 19:45:00,175.32,0.0,0.0,1.7375,0.0
2023-06-19 20:00:00,217.46,1.0,0.2375,1.7375,51.64675
2023-06-19 20:15:00,193.6,1.0,0.2375,1.4875,45.98
2023-06-19 20:30:00,190.7,1.0,0.2375,1.2375,45.29125
2023-06-19 20:45:00,174.87,0.0,0.0,0.9875,0.0
2023-06-19 21:00:00,207.5,1.0,0.2375,0.9875,49.28125
2023-06-19 21:15:00,199.95,1.0,0.2375,0.7375,47.488125
2023-06-19 21:30:00,192.42,1.0,0.2375,0.4875,45.699749999999995
2023-06-19 21:45:00,161.21,-0.0526315789473682,-0.01315789473684205,0.2375,-2.121184210526307
2023-06-19 22:00:00,199.96,1.0,0.2375,0.25,47.4905
2023-06-19 22:15:00,174.4,0.0,0.0,0.0,0.0
2023-06-19 22:30:00,155.5,0.0,0.0,0.0,0.0
2023-06-19 22:45:00,133.1,-1.0,-0.25,0.0,-33.275
2023-06-19 23:00:00,152.27,0.0,0.0,0.2375,0.0
2023-06-19 23:15:00,159.7,0.95,0.225625,0.2375,36.032312499999996
2023-06-19 23:30:00,134.3,0.0,0.0,0.0,0.0
2023-06-19 23:45:00,106.4,-1.0,-0.25,0.0,-26.6
2023-06-20 00:00:00,130.09,0.95,0.225625,0.2375,29.351556249999998
2023-06-20 00:15:00,122.6,0.0,0.0,0.0,0.0
2023-06-20 00:30:00,108.7,-0.0526315789473685,-0.013157894736842125,0.0,-1.4302631578947391
2023-06-20 00:45:00,105.21,-1.0,-0.25,0.0125,-26.3025
2023-06-20 01:00:00,142.7,1.0,0.2375,0.25,33.89124999999999
2023-06-20 01:15:00,115.1,0.0,0.0,0.0,0.0
2023-06-20 01:30:00,106.13,0.0,0.0,0.0,0.0
2023-06-20 01:45:00,80.07,-1.0,-0.25,0.0,-20.0175
2023-06-20 02:00:00,112.96,0.0,0.0,0.2375,0.0
2023-06-20 02:15:00,106.7,0.0,0.0,0.2375,0.0
2023-06-20 02:30:00,105.03,-0.421052631578947,-0.10526315789473675,0.2375,-11.055789473684202
2023-06-20 02:45:00,105.29,0.0,0.0,0.3375,0.0
2023-06-20 03:00:00,107.54,0.0,0.0,0.3375,0.0
2023-06-20 03:15:00,105.01,-1.0,-0.25,0.3375,-26.2525
2023-06-20 03:30:00,100.7,-1.0,-0.25,0.575,-25.175
2023-06-20 03:45:00,105.02,-1.0,-0.25,0.8125,-26.255
2023-06-20 04:00:00,102.54,-1.0,-0.25,1.05,-25.635
2023-06-20 04:15:00,102.53,-1.0,-0.25,1.2875,-25.6325
2023-06-20 04:30:00,105.07,0.0,0.0,1.525,0.0
2023-06-20 04:45:00,110.96,0.0,0.0,1.525,0.0
2023-06-20 05:00:00,84.3,-1.0,-0.25,1.525,-21.075
2023-06-20 05:15:00,97.3,-1.0,-0.25,1.7625,-24.325
2023-06-20 05:30:00,121.6,0.0,0.0,2.0,0.0
2023-06-20 05:45:00,159.98,1.0,0.2375,2.0,37.99525
2023-06-20 06:00:00,98.7,-1.0,-0.25,1.75,-24.675
2023-06-20 06:15:00,143.0,0.0,0.0,1.9875,0.0
2023-06-20 06:30:00,164.5,1.0,0.2375,1.9875,39.06875
2023-06-20 06:45:00,171.7,1.0,0.2375,1.7375,40.778749999999995
2023-06-20 07:00:00,152.8,1.0,0.2375,1.4875,36.29
2023-06-20 07:15:00,156.0,1.0,0.2375,1.2375,37.05
2023-06-20 07:30:00,152.57,1.0,0.2375,0.9875,36.235375
2023-06-20 07:45:00,169.47,1.0,0.2375,0.7375,40.249125
2023-06-20 08:00:00,162.15,1.0,0.2375,0.4875,38.510625
2023-06-20 08:15:00,145.09,0.0,0.0,0.2375,0.0
